insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.543,0.056,9.528,
0.496,0.052,9.528,
0.487,0.061,9.528,
0.670,0.053,9.528,
0.486,0.053,9.528,
0.494,0.061,9.528,
0.487,0.053,9.528,
0.485,0.039,9.528,
0.473,0.055,9.528,
0.501,0.052,9.528,
0.541,0.055,9.528,
0.517,0.059,9.528,
0.536,0.063,9.528,
0.529,0.059,9.528,
0.937,0.058,9.528,
0.468,0.059,9.528,
0.424,0.049,9.528,
0.442,0.054,9.528,
0.488,0.057,9.528,
0.533,0.055,9.528,
0.554,0.061,9.528,
0.583,0.048,9.528,
0.538,0.053,9.528,
0.428,0.056,9.528,
0.444,0.059,9.528,
0.436,0.053,9.528,
0.443,0.080,9.528,
0.436,0.049,9.528,
0.445,0.048,9.528,
0.434,0.055,9.528,
0.437,0.053,9.528,
0.428,0.051,9.528,
0.435,0.075,9.528,
0.437,0.082,9.528,
0.440,0.046,9.528,
0.434,0.057,9.528,
0.438,0.056,9.528,
0.431,0.055,9.528,
0.429,0.057,9.528,
0.432,0.066,9.528,
0.451,0.054,9.528,
0.489,0.061,9.528,
0.588,0.057,9.528,
0.566,0.062,9.528,
0.639,0.053,9.528,
0.483,0.052,9.528,
0.478,0.045,9.528,
0.496,0.054,9.528,
0.629,0.061,9.528,
0.760,0.070,9.528,
0.627,0.087,9.528,
0.555,0.057,9.528,
0.520,0.046,9.528,
0.441,0.053,9.528,
0.417,0.047,9.528,
0.615,0.063,9.528,
0.559,0.055,9.528,
0.484,0.057,9.528,
0.508,0.068,9.528,
0.494,0.052,9.528,
0.470,0.055,9.528,
0.489,0.044,9.528,
0.479,0.061,9.528,
0.469,0.083,9.528,
0.507,0.059,9.528,
0.479,0.070,9.528,
0.468,0.055,9.528,
0.473,0.051,9.528,
0.458,0.053,9.528,
0.490,0.056,9.528,
0.519,0.053,9.528,
0.493,0.054,9.528,
0.563,0.055,9.528,
0.552,0.058,9.528,
0.534,0.059,9.528,
0.533,0.052,9.528,
0.557,0.046,9.528,
0.432,0.063,9.528,
0.432,0.048,9.528,
0.451,0.054,9.528,
0.522,0.051,9.528,
0.513,0.053,9.528,
0.589,0.068,9.528,
0.603,0.055,9.528,
0.448,0.050,9.528,
0.426,0.053,9.528,
0.430,0.061,9.528,
0.443,0.048,9.528,
0.426,0.056,9.528,
0.428,0.051,9.528,
0.438,0.054,9.528,
0.439,0.047,9.528,
0.429,0.051,9.528,
0.421,0.050,9.528,
0.441,0.057,9.528,
0.439,0.046,9.528,
0.429,0.058,9.528,
0.442,0.050,9.528,
0.429,0.050,9.528,
0.439,0.055,9.528,
0.422,0.065,9.528,
0.432,0.046,9.528,
0.446,0.055,9.528,
0.430,0.053,9.528,
0.485,0.051,9.528,
0.580,0.063,9.528,
0.575,0.056,9.528,
0.643,0.071,9.528,
0.510,0.059,9.528,
0.552,0.062,9.528,
0.633,0.061,9.528,
0.637,0.061,9.528,
0.600,0.057,9.528,
0.582,0.068,9.528,
0.470,0.060,9.528,
0.438,0.054,9.528,
0.617,0.063,9.528,
0.574,0.049,9.528,
0.495,0.049,9.528,
0.513,0.054,9.528,
0.487,0.058,9.528,
0.519,0.054,9.528,
0.499,0.046,9.528,
0.492,0.052,9.528,
0.514,0.046,9.528,
0.496,0.056,9.528,
0.483,0.056,9.528,
0.485,0.050,9.528,
0.470,0.052,9.528,
0.479,0.048,9.528,
0.498,0.052,9.528,
0.528,0.051,9.528,
0.542,0.056,9.528,
0.599,0.053,9.528,
0.724,0.059,9.528,
0.575,0.055,9.528,
0.483,0.052,9.528,
0.442,0.055,9.528,
0.433,0.066,9.528,
0.462,0.047,9.528,
0.515,0.057,9.528,
0.513,0.053,9.528,
0.547,0.052,9.528,
0.575,0.064,9.528,
0.429,0.050,9.528,
0.565,0.051,9.528,
0.446,0.046,9.528,
0.434,0.054,9.528,
0.445,0.055,9.528,
0.433,0.054,9.528,
0.437,0.044,9.528,
0.450,0.053,9.528,
0.439,0.047,9.528,
0.444,0.054,9.528,
0.418,0.051,9.528,
0.438,0.059,9.528,
0.438,0.049,9.528,
0.444,0.057,9.528,
0.453,0.050,9.528,
0.428,0.057,9.528,
0.448,0.050,9.528,
0.430,0.062,9.528,
0.430,0.054,9.528,
0.441,0.047,9.528,
0.425,0.055,9.528,
0.459,0.046,9.528,
0.438,0.040,9.528,
0.537,0.060,9.528,
0.594,0.066,9.528,
0.708,0.062,9.528,
0.622,0.090,9.528,
0.622,0.061,9.528,
0.599,0.056,9.528,
0.544,0.055,9.528,
0.436,0.052,9.528,
0.439,0.060,9.528,
0.509,0.061,9.528,
0.616,0.074,9.528,
0.565,0.053,9.528,
0.539,0.055,9.528,
0.495,0.050,9.528,
0.497,0.055,9.528,
0.519,0.049,9.528,
0.499,0.058,9.528,
0.491,0.063,9.528,
0.484,0.045,9.528,
0.496,0.056,9.528,
0.473,0.049,9.528,
0.491,0.082,9.528,
0.493,0.059,9.528,
0.508,0.050,9.528,
0.527,0.059,9.528,
0.520,0.049,9.528,
0.535,0.049,9.528,
0.541,0.073,9.528,
0.549,0.063,9.528,
0.515,0.054,9.528,
0.425,0.050,9.528,
0.431,0.057,9.528,
0.487,0.052,9.528,
0.599,0.060,9.528,
0.692,0.068,9.528,
0.687,0.071,9.528,
0.691,0.068,9.528,
0.663,0.056,9.528,
0.456,0.052,9.528,
0.449,0.074,9.528,
0.453,0.050,9.528,
0.440,0.063,9.528,
0.430,0.050,9.528,
0.499,0.047,9.528,
0.440,0.050,9.528,
0.448,0.049,9.528,
0.432,0.081,9.528,
0.435,0.049,9.528,
0.442,0.051,9.528,
0.434,0.050,9.528,
0.440,0.046,9.528,
0.434,0.047,9.528,
0.434,0.078,9.528,
0.446,0.054,9.528,
0.434,0.052,9.528,
0.448,0.053,9.528,
0.432,0.049,9.528,
0.442,0.050,9.528,
0.441,0.051,9.528,
0.435,0.071,9.528,
0.444,0.051,9.528,
0.470,0.052,9.528,
0.555,0.053,9.528,
0.600,0.057,9.528,
0.602,0.063,9.528,
0.580,0.076,9.528,
0.534,0.050,9.528,
0.469,0.053,9.528,
0.434,0.053,9.528,
0.601,0.064,9.528,
0.559,0.060,9.528,
0.506,0.059,9.528,
0.534,0.060,9.528,
0.491,0.059,9.528,
0.480,0.057,9.528,
0.499,0.051,9.528,
0.516,0.050,9.528,
0.493,0.060,9.528,
0.518,0.061,9.528,
0.503,0.053,9.528,
0.475,0.053,9.528,
0.488,0.045,9.528,
0.470,0.059,9.528,
0.487,0.050,9.528,
0.625,0.059,9.528,
0.559,0.059,9.528,
0.530,0.046,9.528,
0.578,0.058,9.528,
0.623,0.061,9.528,
0.460,0.068,9.528,
0.424,0.052,9.528,
0.460,0.056,9.528,
0.530,0.058,9.528,
0.522,0.060,9.528,
0.561,0.059,9.528,
0.589,0.059,9.528,
0.586,0.054,9.528,
0.596,0.061,9.528,
0.541,0.049,9.528,
0.528,0.054,9.528,
0.437,0.054,9.528,
0.474,0.065,9.528,
0.435,0.047,9.528,
0.438,0.045,9.528,
0.441,0.057,9.528,
0.420,0.058,9.528,
0.445,0.047,9.528,
0.433,0.051,9.528,
0.443,0.066,9.528,
0.477,0.050,9.528,
0.426,0.052,9.528,
0.444,0.056,9.528,
0.429,0.053,9.528,
0.441,0.055,9.528,
0.431,0.062,9.528,
0.429,0.064,9.528,
0.439,0.053,9.528,
0.437,0.056,9.528,
0.445,0.061,9.528,
0.438,0.046,9.528,
0.462,0.052,9.528,
0.595,0.059,9.528,
0.671,0.065,9.528,
0.584,0.058,9.528,
0.512,0.055,9.528,
0.454,0.054,9.528,
0.433,0.055,9.528,
0.479,0.060,9.528,
0.607,0.072,9.528,
0.545,0.067,9.528,
0.557,0.062,9.528,
0.515,0.058,9.528,
0.482,0.049,9.528,
0.481,0.054,9.528,
0.492,0.050,9.528,
0.483,0.049,9.528,
0.492,0.050,9.528,
0.520,0.061,9.528,
0.486,0.049,9.528,
0.481,0.052,9.528,
0.462,0.066,9.528,
0.489,0.057,9.528,
0.502,0.051,9.528,
0.523,0.048,9.528,
0.545,0.054,9.528,
0.550,0.057,9.528,
0.577,0.059,9.528,
0.550,0.065,9.528,
0.540,0.053,9.528,
0.492,0.051,9.528,
0.432,0.056,9.528,
0.437,0.044,9.528,
0.474,0.060,9.528,
0.527,0.055,9.528,
0.549,0.059,9.528,
0.552,0.058,9.528,
0.642,0.075,9.528,
0.519,0.047,9.528,
0.449,0.065,9.528,
0.443,0.055,9.528,
0.445,0.054,9.528,
0.438,0.058,9.528,
0.622,0.061,9.528,
0.595,0.064,9.528,
0.589,0.083,9.528,
0.540,0.048,9.528,
0.458,0.060,9.528,
0.491,0.053,9.528,
0.450,0.052,9.528,
0.440,0.056,9.528,
0.445,0.053,9.528,
0.440,0.049,9.528,
0.439,0.055,9.528,
0.456,0.054,9.528,
0.440,0.052,9.528,
0.435,0.065,9.528,
0.447,0.047,9.528,
0.449,0.071,9.528,
0.455,0.054,9.528,
0.488,0.060,9.528,
0.593,0.060,9.528,
0.602,0.070,9.528,
0.645,0.064,9.528,
0.657,0.075,9.528,
0.605,0.061,9.528,
0.461,0.044,9.528,
0.475,0.063,9.528,
0.652,0.058,9.528,
0.541,0.060,9.528,
0.491,0.057,9.528,
0.494,0.057,9.528,
0.481,0.058,9.528,
0.496,0.054,9.528,
0.485,0.040,9.528,
0.485,0.052,9.528,
0.494,0.125,9.528,
0.490,0.049,9.528,
0.472,0.047,9.528,
0.488,0.051,9.528,
0.473,0.046,9.528,
0.464,0.054,9.528,
0.494,0.056,9.528,
0.540,0.051,9.528,
0.518,0.059,9.528,
0.557,0.055,9.528,
0.577,0.057,9.528,
0.546,0.058,9.528,
0.568,0.055,9.528,
0.552,0.063,9.528,
0.486,0.052,9.528,
0.436,0.052,9.528,
0.424,0.057,9.528,
0.428,0.055,9.528,
0.540,0.059,9.528,
0.551,0.058,9.528,
0.548,0.058,9.528,
0.556,0.064,9.528,
0.576,0.065,9.528,
0.457,0.056,9.528,
0.432,0.053,9.528,
0.459,0.049,9.528,
0.441,0.046,9.528,
0.439,0.058,9.528,
0.430,0.051,9.528,
0.445,0.063,9.528,
0.440,0.058,9.528,
0.433,0.068,9.528,
0.474,0.050,9.528,
0.628,0.060,9.528,
0.600,0.062,9.528,
0.566,0.051,9.528,
0.513,0.053,9.528,
0.430,0.050,9.528,
0.440,0.053,9.528,
0.430,0.070,9.528,
0.426,0.051,9.528,
0.441,0.053,9.528,
0.433,0.057,9.528,
0.553,0.060,9.528,
0.620,0.054,9.528,
0.565,0.067,9.528,
0.499,0.054,9.528,
