insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.265,0.942,4.144,
0.341,0.895,4.144,
0.244,0.868,4.144,
0.164,0.891,4.144,
0.217,0.884,4.144,
0.195,0.897,4.144,
0.191,0.872,4.144,
0.200,0.883,4.144,
0.197,0.908,4.144,
0.233,0.884,4.144,
0.313,0.954,4.144,
0.289,0.907,4.144,
0.233,0.867,4.144,
0.183,0.896,4.144,
0.251,0.894,4.144,
0.195,0.889,4.144,
0.218,0.874,4.144,
0.245,0.858,4.144,
0.178,0.873,4.144,
0.184,0.890,4.144,
0.201,0.901,4.144,
0.184,0.885,4.144,
0.173,0.879,4.144,
0.200,0.887,4.144,
0.310,0.892,4.144,
0.213,0.889,4.144,
0.224,0.887,4.144,
0.561,0.872,4.144,
0.206,0.868,4.144,
0.196,0.906,4.144,
0.217,0.878,4.144,
0.205,0.874,4.144,
0.201,0.862,4.144,
0.209,0.878,4.144,
0.232,0.909,4.144,
0.348,0.905,4.144,
0.312,0.919,4.144,
0.206,0.871,4.144,
0.198,0.889,4.144,
0.303,0.873,4.144,
0.224,0.899,4.144,
0.228,0.887,4.144,
0.223,0.889,4.144,
0.212,1.334,4.144,
0.181,0.855,4.144,
0.207,0.871,4.144,
0.216,0.866,4.144,
0.201,0.864,4.144,
0.174,0.859,4.144,
0.161,0.861,4.144,
0.180,0.976,4.144,
0.163,0.863,4.144,
0.167,0.854,4.144,
0.168,0.870,4.144,
0.213,0.867,4.144,
0.187,0.900,4.144,
0.216,0.882,4.144,
0.215,1.311,4.144,
0.221,0.858,4.144,
0.213,0.863,4.144,
0.187,0.910,4.144,
0.213,0.906,4.144,
0.256,0.869,4.144,
0.240,0.961,4.144,
0.236,0.875,4.144,
0.169,0.859,4.144,
0.187,0.906,4.144,
0.215,0.880,4.144,
0.300,0.886,4.144,
0.265,0.878,4.144,
0.211,0.908,4.144,
0.164,0.859,4.144,
0.165,0.860,4.144,
0.174,0.890,4.144,
0.351,0.884,4.144,
0.224,0.878,4.144,
0.228,0.866,4.144,
0.211,0.854,4.144,
0.246,0.864,4.144,
0.167,0.851,4.144,
0.170,0.870,4.144,
