insert() runtime [ms],get() runtime [ms],memory usage [kB],
35.907,0.096,9.528,
35.841,0.110,9.528,
36.218,0.157,9.528,
35.512,0.113,9.528,
36.310,0.206,9.528,
35.511,0.154,9.528,
35.751,0.142,9.528,
36.104,0.123,9.528,
35.635,0.097,9.528,
35.639,0.101,9.528,
35.541,0.110,9.528,
35.449,0.136,9.528,
35.540,0.120,9.528,
35.494,0.113,9.528,
35.407,0.113,9.528,
35.340,0.115,9.528,
35.256,0.108,9.528,
35.279,0.133,9.528,
35.211,0.104,9.528,
35.247,0.206,9.528,
35.127,0.118,9.528,
35.085,0.101,9.528,
35.178,0.105,9.528,
34.998,0.113,9.528,
35.646,0.177,9.528,
36.116,0.170,9.528,
35.780,0.099,9.528,
36.182,0.104,9.528,
36.836,0.138,9.528,
36.627,0.120,9.528,
36.478,0.141,9.528,
36.893,0.119,9.528,
36.129,0.099,9.528,
35.712,0.149,9.528,
35.955,0.136,9.528,
36.104,0.099,9.528,
35.822,0.127,9.528,
36.075,0.127,9.528,
35.895,0.143,9.528,
36.014,0.114,9.528,
36.042,0.136,9.528,
35.806,0.134,9.528,
35.826,0.122,9.528,
35.606,0.124,9.528,
36.930,0.108,9.528,
36.121,0.168,9.528,
36.251,0.129,9.528,
36.633,0.097,9.528,
36.145,0.095,9.528,
36.238,0.099,9.528,
36.166,0.114,9.528,
36.093,0.121,9.528,
35.948,0.129,9.528,
35.882,0.106,9.528,
35.872,0.114,9.528,
35.584,0.155,9.528,
34.904,0.107,9.528,
35.873,0.108,9.528,
35.909,0.107,9.528,
35.252,0.111,9.528,
35.473,0.105,9.528,
35.348,0.101,9.528,
34.607,0.101,9.528,
35.948,0.111,9.528,
34.409,0.102,9.528,
35.483,0.121,9.528,
35.750,0.128,9.528,
36.231,0.106,9.528,
35.881,0.093,9.528,
35.991,0.098,9.528,
35.885,0.145,9.528,
35.674,0.129,9.528,
35.472,0.095,9.528,
35.678,0.122,9.528,
35.942,0.107,9.528,
35.365,0.087,9.528,
35.886,0.128,9.528,
35.515,0.102,9.528,
35.512,0.093,9.528,
35.465,0.126,9.528,
35.473,0.122,9.528,
35.841,0.106,9.528,
35.808,0.093,9.528,
35.539,0.101,9.528,
35.669,0.118,9.528,
34.819,0.109,9.528,
35.638,0.106,9.528,
35.616,0.116,9.528,
35.315,0.117,9.528,
35.678,0.123,9.528,
35.822,0.122,9.528,
35.944,0.129,9.528,
35.640,0.097,9.528,
35.688,0.092,9.528,
35.902,0.135,9.528,
35.693,0.143,9.528,
35.566,0.099,9.528,
35.111,0.101,9.528,
35.754,0.148,9.528,
34.988,0.121,9.528,
35.560,0.129,9.528,
35.699,0.102,9.528,
36.037,0.099,9.528,
35.372,0.125,9.528,
35.105,0.167,9.528,
35.261,0.137,9.528,
35.549,0.155,9.528,
35.956,0.165,9.528,
36.067,0.098,9.528,
36.024,0.099,9.528,
35.970,0.114,9.528,
36.207,0.110,9.528,
35.802,0.109,9.528,
36.282,0.110,9.528,
36.538,0.123,9.528,
35.622,0.110,9.528,
35.752,0.145,9.528,
35.970,0.147,9.528,
36.108,0.118,9.528,
35.993,0.103,9.528,
35.862,0.120,9.528,
37.018,0.131,9.528,
36.402,0.133,9.528,
36.326,0.167,9.528,
36.645,0.134,9.528,
36.194,0.104,9.528,
35.711,0.123,9.528,
35.673,0.086,9.528,
35.609,0.097,9.528,
35.714,0.106,9.528,
34.946,0.127,9.528,
35.659,0.099,9.528,
35.638,0.107,9.528,
35.574,0.142,9.528,
35.297,0.108,9.528,
35.646,0.125,9.528,
35.889,0.162,9.528,
35.651,0.125,9.528,
36.544,0.118,9.528,
36.573,0.115,9.528,
35.974,0.133,9.528,
34.508,0.092,9.528,
35.750,0.102,9.528,
35.505,0.104,9.528,
35.977,0.094,9.528,
36.298,0.090,9.528,
36.003,0.117,9.528,
36.084,0.132,9.528,
35.984,0.107,9.528,
