insert() runtime [ms],get() runtime [ms],memory usage [kB],
3.038,0.339,6.400,
2.826,0.324,6.400,
3.023,0.332,6.400,
2.855,0.330,6.400,
2.727,0.332,6.400,
2.624,0.345,6.400,
2.675,0.434,6.400,
2.720,0.345,6.400,
2.686,0.353,6.400,
2.782,0.316,6.400,
2.934,0.330,6.400,
2.828,0.333,6.400,
2.949,0.330,6.400,
2.874,0.326,6.400,
2.722,0.315,6.400,
2.705,0.317,6.400,
2.772,0.340,6.400,
2.740,0.319,6.400,
2.821,0.334,6.400,
2.801,0.326,6.400,
3.090,0.326,6.400,
2.847,0.336,6.400,
2.921,0.323,6.400,
2.848,0.320,6.400,
2.678,0.316,6.400,
2.635,0.336,6.400,
2.645,0.332,6.400,
2.767,0.336,6.400,
2.860,0.321,6.400,
2.782,0.325,6.400,
2.789,0.346,6.400,
2.936,0.320,6.400,
2.928,0.331,6.400,
2.764,0.329,6.400,
2.759,0.319,6.400,
2.662,0.332,6.400,
2.647,0.331,6.400,
2.937,0.316,6.400,
2.827,0.311,6.400,
2.755,0.322,6.400,
2.921,0.332,6.400,
2.836,0.348,6.400,
2.960,0.337,6.400,
2.876,0.328,6.400,
2.730,0.317,6.400,
2.732,0.335,6.400,
2.662,0.321,6.400,
2.864,0.325,6.400,
2.843,0.329,6.400,
2.800,0.322,6.400,
2.889,0.365,6.400,
2.875,0.329,6.400,
2.933,0.315,6.400,
2.670,0.348,6.400,
2.858,0.331,6.400,
2.701,0.340,6.400,
2.731,0.331,6.400,
2.879,0.329,6.400,
2.748,0.326,6.400,
2.866,0.337,6.400,
3.024,0.317,6.400,
2.879,0.328,6.400,
3.005,0.321,6.400,
2.893,0.316,6.400,
2.754,0.321,6.400,
2.731,0.322,6.400,
2.677,0.329,6.400,
2.919,0.314,6.400,
2.826,0.327,6.400,
3.013,0.336,6.400,
2.798,0.363,6.400,
2.869,0.330,6.400,
2.824,0.331,6.400,
2.796,0.342,6.400,
2.675,0.344,6.400,
2.639,0.333,6.400,
2.624,0.338,6.400,
2.801,0.360,6.400,
2.773,0.326,6.400,
3.065,0.323,6.400,
2.824,0.320,6.400,
3.018,0.341,6.400,
2.686,0.328,6.400,
2.808,0.334,6.400,
2.639,0.340,6.400,
2.644,0.341,6.400,
2.651,0.335,6.400,
2.756,0.367,6.400,
2.784,0.337,6.400,
3.092,0.327,6.400,
2.841,0.350,6.400,
2.953,0.334,6.400,
2.672,0.329,6.400,
2.769,0.325,6.400,
2.668,0.341,6.400,
2.675,0.346,6.400,
2.748,0.348,6.400,
2.779,0.315,6.400,
3.236,0.332,6.400,
3.004,0.323,6.400,
2.860,0.323,6.400,
3.132,0.328,6.400,
2.883,0.322,6.400,
2.693,0.317,6.400,
2.688,0.335,6.400,
2.672,0.322,6.400,
2.770,0.316,6.400,
2.855,0.329,6.400,
3.177,0.315,6.400,
2.903,0.332,6.400,
2.906,0.331,6.400,
3.003,0.332,6.400,
2.837,0.323,6.400,
2.719,0.328,6.400,
2.689,0.312,6.400,
2.669,0.325,6.400,
2.736,0.319,6.400,
2.934,0.342,6.400,
3.040,0.328,6.400,
2.857,0.327,6.400,
2.729,0.330,6.400,
2.790,0.327,6.400,
2.924,0.323,6.400,
2.909,0.329,6.400,
2.829,0.337,6.400,
2.664,0.324,6.400,
2.671,0.319,6.400,
2.791,0.329,6.400,
2.873,0.334,6.400,
2.756,0.324,6.400,
2.754,0.327,6.400,
2.885,0.376,6.400,
2.763,0.362,6.400,
2.768,0.341,6.400,
2.661,0.331,6.400,
2.678,0.327,6.400,
3.088,0.346,6.400,
2.887,0.328,6.400,
2.809,0.363,6.400,
2.834,0.318,6.400,
3.021,0.349,6.400,
2.719,0.336,6.400,
2.764,0.342,6.400,
2.663,0.336,6.400,
2.696,0.343,6.400,
2.843,0.329,6.400,
3.112,0.314,6.400,
2.866,0.322,6.400,
2.803,0.318,6.400,
2.814,0.319,6.400,
2.926,0.346,6.400,
2.668,0.329,6.400,
2.851,0.326,6.400,
2.689,0.327,6.400,
2.703,0.322,6.400,
2.918,0.356,6.400,
3.069,0.360,6.400,
2.923,0.335,6.400,
2.802,0.329,6.400,
2.931,0.323,6.400,
3.079,0.331,6.400,
2.875,0.320,6.400,
2.683,0.320,6.400,
2.694,0.324,6.400,
2.682,0.315,6.400,
2.990,0.341,6.400,
2.927,0.322,6.400,
2.819,0.315,6.400,
2.791,0.322,6.400,
2.851,0.315,6.400,
3.111,0.334,6.400,
2.749,0.326,6.400,
2.727,0.321,6.400,
2.679,0.325,6.400,
2.888,0.340,6.400,
2.884,0.339,6.400,
2.752,0.326,6.400,
2.767,0.311,6.400,
2.887,0.352,6.400,
2.676,0.311,6.400,
2.849,0.351,6.400,
2.674,0.314,6.400,
2.673,0.328,6.400,
2.673,0.326,6.400,
2.906,0.356,6.400,
2.891,0.345,6.400,
2.879,0.452,6.400,
2.775,0.399,6.400,
2.943,0.334,6.400,
2.695,0.311,6.400,
2.817,0.326,6.400,
2.683,0.341,6.400,
2.665,0.332,6.400,
2.674,0.332,6.400,
3.222,0.343,6.400,
2.848,0.330,6.400,
2.777,0.322,6.400,
2.899,0.315,6.400,
2.861,0.309,6.400,
2.720,0.323,6.400,
2.984,0.336,6.400,
2.744,0.328,6.400,
2.734,0.321,6.400,
2.930,0.355,6.400,
2.795,0.333,6.400,
2.813,0.346,6.400,
2.822,0.319,6.400,
2.832,0.316,6.400,
3.073,0.342,6.400,
2.844,0.319,6.400,
2.770,0.322,6.400,
2.674,0.323,6.400,
2.727,0.325,6.400,
3.204,0.334,6.400,
2.930,0.342,6.400,
2.873,0.320,6.400,
2.823,0.320,6.400,
2.896,0.322,6.400,
3.193,0.326,6.400,
2.777,0.361,6.400,
2.718,0.322,6.400,
2.689,0.326,6.400,
2.815,0.315,6.400,
2.943,0.331,6.400,
2.775,0.339,6.400,
2.822,0.362,6.400,
2.822,0.333,6.400,
2.819,0.325,6.400,
2.795,0.333,6.400,
