insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.908,0.021,4.104,
0.754,0.023,4.104,
0.801,0.024,4.104,
0.778,0.023,4.104,
0.805,0.017,4.104,
0.749,0.023,4.104,
0.768,0.025,4.104,
0.725,0.022,4.104,
0.749,0.023,4.104,
0.725,0.022,4.104,
0.754,0.018,4.104,
0.799,0.020,4.104,
0.727,0.022,4.104,
0.736,0.019,4.104,
0.752,0.024,4.104,
0.746,0.039,4.104,
0.715,0.017,4.104,
0.773,0.024,4.104,
0.740,0.032,4.104,
0.760,0.020,4.104,
0.781,0.023,4.104,
0.766,0.019,4.104,
0.738,0.027,4.104,
0.785,0.021,4.104,
0.792,0.020,4.104,
0.855,0.022,4.104,
0.736,0.020,4.104,
0.791,0.026,4.104,
0.838,0.026,4.104,
0.863,0.029,4.104,
0.837,0.023,4.104,
0.772,0.025,4.104,
0.748,0.018,4.104,
0.805,0.037,4.104,
0.834,0.021,4.104,
0.754,0.023,4.104,
0.784,0.020,4.104,
0.779,0.019,4.104,
0.811,0.021,4.104,
0.710,0.021,4.104,
0.768,0.024,4.104,
0.777,0.021,4.104,
0.785,0.021,4.104,
0.780,0.020,4.104,
0.722,0.022,4.104,
0.717,0.025,4.104,
0.744,0.023,4.104,
0.738,0.021,4.104,
0.751,0.020,4.104,
0.797,0.025,4.104,
0.795,0.021,4.104,
0.792,0.023,4.104,
0.738,0.019,4.104,
0.731,0.022,4.104,
0.738,0.021,4.104,
0.752,0.023,4.104,
0.719,0.021,4.104,
0.739,0.044,4.104,
0.719,0.021,4.104,
0.752,0.023,4.104,
0.736,0.021,4.104,
0.745,0.019,4.104,
0.769,0.021,4.104,
0.773,0.033,4.104,
0.733,0.025,4.104,
0.744,0.023,4.104,
0.743,0.023,4.104,
0.764,0.021,4.104,
0.759,0.023,4.104,
0.745,0.020,4.104,
0.742,0.021,4.104,
0.770,0.021,4.104,
0.815,0.022,4.104,
0.769,0.036,4.104,
0.837,0.033,4.104,
0.884,0.026,4.104,
0.838,0.042,4.104,
0.748,0.023,4.104,
0.732,0.028,4.104,
0.737,0.022,4.104,
0.806,0.014,4.104,
0.781,0.022,4.104,
0.760,0.018,4.104,
0.742,0.026,4.104,
0.787,0.021,4.104,
0.740,0.042,4.104,
0.741,0.023,4.104,
0.779,0.023,4.104,
0.782,0.024,4.104,
0.792,0.026,4.104,
0.785,0.021,4.104,
0.742,0.021,4.104,
0.727,0.020,4.104,
0.742,0.020,4.104,
0.742,0.021,4.104,
0.792,0.024,4.104,
0.819,0.031,4.104,
0.813,0.020,4.104,
0.770,0.024,4.104,
0.730,0.038,4.104,
0.712,0.026,4.104,
0.721,0.020,4.104,
0.710,0.024,4.104,
0.734,0.023,4.104,
0.737,0.023,4.104,
0.727,0.022,4.104,
0.740,0.022,4.104,
0.731,0.030,4.104,
0.741,0.026,4.104,
0.796,0.018,4.104,
0.775,0.030,4.104,
0.781,0.025,4.104,
0.782,0.025,4.104,
0.768,0.026,4.104,
0.820,0.019,4.104,
0.758,0.023,4.104,
0.783,0.021,4.104,
0.764,0.022,4.104,
0.782,0.041,4.104,
0.756,0.025,4.104,
0.792,0.018,4.104,
0.747,0.024,4.104,
0.733,0.021,4.104,
0.791,0.025,4.104,
0.794,0.023,4.104,
0.747,0.029,4.104,
0.894,0.042,4.104,
0.806,0.022,4.104,
0.790,0.019,4.104,
0.785,0.024,4.104,
0.786,0.024,4.104,
0.740,0.022,4.104,
0.794,0.020,4.104,
0.769,0.026,4.104,
0.769,0.022,4.104,
0.781,0.025,4.104,
0.782,0.020,4.104,
0.732,0.021,4.104,
0.722,0.026,4.104,
0.728,0.021,4.104,
0.731,0.020,4.104,
0.733,0.017,4.104,
0.723,0.028,4.104,
0.714,0.024,4.104,
0.722,0.026,4.104,
0.724,0.024,4.104,
0.712,0.035,4.104,
0.789,0.020,4.104,
0.779,0.025,4.104,
0.790,0.021,4.104,
0.731,0.022,4.104,
0.762,0.021,4.104,
0.742,0.023,4.104,
0.749,0.023,4.104,
0.731,0.023,4.104,
0.762,0.026,4.104,
0.758,0.020,4.104,
0.774,0.022,4.104,
0.741,0.025,4.104,
0.751,0.022,4.104,
0.791,0.025,4.104,
0.775,0.025,4.104,
0.761,0.019,4.104,
0.780,0.020,4.104,
0.843,0.030,4.104,
0.822,0.022,4.104,
0.784,0.023,4.104,
0.706,0.021,4.104,
0.732,0.028,4.104,
0.822,0.031,4.104,
0.753,0.020,4.104,
0.787,0.019,4.104,
0.791,0.021,4.104,
0.770,0.028,4.104,
0.836,0.017,4.104,
0.774,0.027,4.104,
0.799,0.022,4.104,
0.748,0.026,4.104,
0.729,0.024,4.104,
0.797,0.022,4.104,
0.788,0.019,4.104,
0.784,0.022,4.104,
0.735,0.017,4.104,
0.759,0.022,4.104,
0.699,0.019,4.104,
0.729,0.020,4.104,
0.700,0.020,4.104,
0.700,0.019,4.104,
0.715,0.023,4.104,
0.723,0.023,4.104,
0.715,0.021,4.104,
0.731,0.019,4.104,
0.731,0.019,4.104,
