insert() runtime [ms],get() runtime [ms],memory usage [kB],
8.693,0.079,9.528,
10.220,0.085,9.528,
13.964,0.070,9.528,
8.604,0.274,9.528,
8.627,0.223,9.528,
8.808,0.179,9.528,
8.402,0.089,9.528,
8.795,0.097,9.528,
8.592,0.262,9.528,
9.077,0.201,9.528,
8.468,0.114,9.528,
8.342,0.114,9.528,
9.351,0.085,9.528,
9.003,0.345,9.528,
10.219,0.092,9.528,
9.899,0.083,9.528,
8.901,0.525,9.528,
8.542,0.267,9.528,
8.517,0.177,9.528,
8.607,0.092,9.528,
9.517,0.166,9.528,
15.494,0.200,9.528,
10.538,0.291,9.528,
8.612,0.097,9.528,
10.136,0.131,9.528,
10.237,0.180,9.528,
8.778,0.107,9.528,
9.059,0.085,9.528,
8.645,0.184,9.528,
8.939,0.103,9.528,
9.196,0.186,9.528,
8.268,0.083,9.528,
9.201,0.151,9.528,
10.018,0.279,9.528,
8.532,0.247,9.528,
8.292,0.135,9.528,
8.364,0.088,9.528,
10.641,0.228,9.528,
9.773,0.258,9.528,
9.125,0.084,9.528,
9.754,0.094,9.528,
9.698,0.232,9.528,
10.616,0.160,9.528,
9.787,0.119,9.528,
8.853,0.095,9.528,
8.702,0.283,9.528,
9.120,0.177,9.528,
8.626,0.089,9.528,
11.050,0.082,9.528,
9.601,0.077,9.528,
8.379,0.151,9.528,
9.632,0.098,9.528,
9.456,0.140,9.528,
8.844,0.184,9.528,
8.235,0.132,9.528,
9.281,0.091,9.528,
8.496,0.139,9.528,
9.111,0.086,9.528,
8.309,0.178,9.528,
10.461,0.113,9.528,
9.326,0.115,9.528,
9.617,0.367,9.528,
8.533,0.074,9.528,
9.757,0.234,9.528,
8.440,0.123,9.528,
9.862,0.270,9.528,
9.484,0.108,9.528,
8.577,0.195,9.528,
9.086,0.102,9.528,
8.702,0.201,9.528,
8.258,0.073,9.528,
9.622,0.270,9.528,
8.297,0.089,9.528,
10.185,0.245,9.528,
9.519,0.101,9.528,
8.396,0.207,9.528,
9.690,0.110,9.528,
9.397,0.155,9.528,
8.370,0.074,9.528,
10.148,0.251,9.528,
8.409,0.096,9.528,
9.232,0.088,9.528,
8.612,0.332,9.528,
8.782,0.240,9.528,
10.156,0.090,9.528,
8.643,0.232,9.528,
8.924,0.085,9.528,
8.544,0.288,9.528,
8.799,0.171,9.528,
9.363,0.117,9.528,
8.694,0.496,9.528,
8.209,0.077,9.528,
8.550,0.168,9.528,
8.352,0.199,9.528,
9.552,0.092,9.528,
9.217,0.098,9.528,
8.455,0.092,9.528,
11.009,0.176,9.528,
9.872,0.432,9.528,
8.627,0.151,9.528,
8.384,0.088,9.528,
8.806,0.165,9.528,
9.800,0.113,9.528,
8.787,0.082,9.528,
8.353,0.087,9.528,
10.876,0.185,9.528,
9.700,0.137,9.528,
8.352,0.072,9.528,
8.233,0.096,9.528,
8.711,0.100,9.528,
9.642,0.086,9.528,
8.473,0.450,9.528,
8.251,0.098,9.528,
10.402,0.225,9.528,
10.062,0.457,9.528,
9.138,0.206,9.528,
14.176,0.156,9.528,
9.348,0.086,9.528,
8.986,0.286,9.528,
8.514,0.071,9.528,
9.019,0.104,9.528,
10.442,0.196,9.528,
9.303,0.101,9.528,
8.560,0.090,9.528,
8.171,0.093,9.528,
8.611,0.150,9.528,
9.645,0.176,9.528,
8.316,0.075,9.528,
9.239,0.090,9.528,
10.434,0.272,9.528,
9.032,0.090,9.528,
9.364,0.081,9.528,
8.588,0.346,9.528,
8.968,0.133,9.528,
9.513,0.147,9.528,
8.828,0.254,9.528,
8.536,0.065,9.528,
8.643,0.630,9.528,
8.595,0.168,9.528,
9.174,0.136,9.528,
8.700,0.076,9.528,
8.381,0.095,9.528,
9.957,0.088,9.528,
8.498,0.091,9.528,
9.131,0.075,9.528,
8.879,0.640,9.528,
8.678,0.099,9.528,
9.829,0.190,9.528,
8.991,0.189,9.528,
8.331,0.076,9.528,
10.328,0.272,9.528,
8.847,0.081,9.528,
14.854,0.129,9.528,
8.651,0.207,9.528,
9.133,0.396,9.528,
8.822,0.159,9.528,
8.728,0.075,9.528,
9.281,0.296,9.528,
11.727,0.110,9.528,
9.590,0.306,9.528,
8.279,0.123,9.528,
8.768,0.253,9.528,
9.597,0.107,9.528,
8.859,0.230,9.528,
8.592,0.075,9.528,
8.331,0.101,9.528,
8.575,0.096,9.528,
9.352,0.151,9.528,
8.382,0.080,9.528,
8.991,0.083,9.528,
9.201,0.432,9.528,
9.651,0.133,9.528,
8.959,0.113,9.528,
9.562,0.115,9.528,
8.653,0.196,9.528,
10.944,0.185,9.528,
9.107,0.100,9.528,
8.326,0.190,9.528,
9.848,0.151,9.528,
8.246,0.081,9.528,
9.859,0.306,9.528,
10.126,0.090,9.528,
8.643,0.076,9.528,
8.738,0.089,9.528,
8.583,0.120,9.528,
8.875,0.238,9.528,
9.703,0.223,9.528,
8.367,0.062,9.528,
8.828,0.112,9.528,
9.867,0.105,9.528,
8.955,0.166,9.528,
9.034,0.081,9.528,
8.344,0.164,9.528,
8.721,0.115,9.528,
9.787,0.196,9.528,
9.500,1.138,9.528,
8.571,0.061,9.528,
9.038,0.093,9.528,
8.513,0.180,9.528,
9.131,0.106,9.528,
8.784,0.096,9.528,
8.171,0.088,9.528,
8.576,0.491,9.528,
8.383,0.097,9.528,
10.397,0.090,9.528,
8.864,0.159,9.528,
