insert() runtime [ms],get() runtime [ms],memory usage [kB],
7.371,0.017,4.104,
0.275,0.023,4.104,
0.277,0.021,4.104,
0.264,0.023,4.104,
0.215,0.027,4.104,
0.734,0.023,4.104,
0.326,0.024,4.104,
0.697,0.021,4.104,
0.360,0.023,4.104,
0.298,0.034,4.104,
0.325,0.022,4.104,
0.222,0.025,4.104,
0.232,0.023,4.104,
0.291,0.022,4.104,
0.306,0.023,4.104,
0.233,0.027,4.104,
0.382,0.025,4.104,
0.278,0.018,4.104,
0.553,0.022,4.104,
0.293,0.019,4.104,
0.642,0.022,4.104,
0.237,0.023,4.104,
0.267,0.021,4.104,
0.266,0.024,4.104,
0.239,0.024,4.104,
0.286,0.023,4.104,
2.151,0.023,4.104,
0.393,0.024,4.104,
0.238,0.025,4.104,
0.314,0.023,4.104,
0.235,0.023,4.104,
0.276,0.024,4.104,
0.232,0.022,4.104,
0.227,0.024,4.104,
0.250,0.023,4.104,
0.326,0.024,4.104,
0.221,0.024,4.104,
0.277,0.027,4.104,
0.218,0.024,4.104,
0.277,0.021,4.104,
0.220,0.023,4.104,
0.300,0.023,4.104,
0.613,0.022,4.104,
0.425,0.023,4.104,
0.470,0.026,4.104,
0.358,0.023,4.104,
0.531,0.022,4.104,
0.264,0.021,4.104,
0.369,0.022,4.104,
0.255,0.022,4.104,
1.095,0.021,4.104,
9.228,0.024,4.104,
0.344,0.023,4.104,
0.237,0.024,4.104,
0.222,0.023,4.104,
0.226,0.025,4.104,
0.292,0.026,4.104,
0.257,0.021,4.104,
4.766,0.021,4.104,
0.220,0.023,4.104,
0.282,0.022,4.104,
0.224,0.023,4.104,
0.275,0.024,4.104,
0.220,0.026,4.104,
0.273,0.026,4.104,
0.278,0.023,4.104,
0.223,0.022,4.104,
0.279,0.024,4.104,
0.214,0.017,4.104,
0.345,0.025,4.104,
0.219,0.024,4.104,
0.273,0.022,4.104,
0.223,0.020,4.104,
0.283,0.021,4.104,
0.224,0.023,4.104,
0.227,0.019,4.104,
0.230,0.024,4.104,
0.274,0.026,4.104,
0.230,0.021,4.104,
0.275,0.022,4.104,
0.232,0.025,4.104,
0.361,0.024,4.104,
0.270,0.020,4.104,
0.471,0.023,4.104,
0.275,0.024,4.104,
0.498,0.023,4.104,
0.319,0.021,4.104,
0.257,0.024,4.104,
0.281,0.023,4.104,
0.220,0.024,4.104,
0.344,0.023,4.104,
0.246,0.021,4.104,
1.943,0.027,4.104,
0.435,0.027,4.104,
0.308,0.022,4.104,
0.228,0.034,4.104,
0.276,0.024,4.104,
0.265,0.023,4.104,
0.311,0.022,4.104,
0.242,0.027,4.104,
0.300,0.023,4.104,
0.237,0.023,4.104,
0.275,0.027,4.104,
0.221,0.018,4.104,
0.288,0.022,4.104,
0.230,0.024,4.104,
0.275,0.023,4.104,
0.293,0.037,4.104,
0.243,0.022,4.104,
0.304,0.023,4.104,
0.233,0.024,4.104,
