insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.068,0.379,6.400,
0.057,0.375,6.400,
0.065,0.379,6.400,
0.046,0.382,6.400,
0.052,0.330,6.400,
0.046,0.331,6.400,
0.053,0.374,6.400,
0.073,0.386,6.400,
0.157,0.439,6.400,
0.103,0.367,6.400,
0.143,0.386,6.400,
0.153,0.411,6.400,
0.143,0.376,6.400,
0.183,0.369,6.400,
0.086,0.346,6.400,
0.054,0.397,6.400,
0.043,0.359,6.400,
0.071,0.406,6.400,
0.078,0.363,6.400,
0.036,0.349,6.400,
0.085,0.325,6.400,
0.058,0.347,6.400,
0.102,0.342,6.400,
0.052,0.347,6.400,
0.133,0.369,6.400,
0.080,0.326,6.400,
0.126,0.329,6.400,
0.087,0.329,6.400,
0.091,0.494,6.400,
0.072,0.364,6.400,
0.089,0.351,6.400,
0.076,0.379,6.400,
0.077,0.363,6.400,
0.035,10.034,6.400,
0.057,0.350,6.400,
0.036,0.328,6.400,
0.051,0.345,6.400,
0.042,0.341,6.400,
0.055,0.342,6.400,
0.040,0.353,6.400,
0.052,0.343,6.400,
0.047,0.421,6.400,
0.050,0.346,6.400,
0.038,0.331,6.400,
0.049,0.331,6.400,
0.049,0.330,6.400,
0.050,0.402,6.400,
0.038,0.320,6.400,
0.048,0.337,6.400,
0.061,0.511,6.400,
0.069,0.452,6.400,
0.150,0.496,6.400,
0.205,0.349,6.400,
0.204,0.360,6.400,
0.078,0.427,6.400,
0.063,0.368,6.400,
3.069,0.399,6.400,
0.058,0.356,6.400,
0.070,0.483,6.400,
0.034,0.434,6.400,
0.088,0.350,6.400,
0.039,0.530,6.400,
0.073,0.327,6.400,
0.062,0.449,6.400,
0.084,0.517,6.400,
0.049,0.527,6.400,
0.090,0.357,6.400,
0.067,0.323,6.400,
0.074,0.344,6.400,
0.061,0.337,6.400,
0.122,0.408,6.400,
0.083,0.408,6.400,
0.342,0.404,6.400,
0.223,0.403,6.400,
0.052,0.370,6.400,
0.046,0.326,6.400,
0.054,0.356,6.400,
0.034,0.346,6.400,
0.218,0.384,6.400,
0.107,0.340,6.400,
0.113,0.394,6.400,
