insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.197,0.937,4.144,
0.164,0.988,4.144,
0.132,1.876,4.144,
0.351,1.055,4.144,
0.138,0.935,4.144,
0.114,0.966,4.144,
0.148,0.934,4.144,
0.687,1.048,4.144,
0.408,0.958,4.144,
0.216,1.312,4.144,
0.122,1.056,4.144,
0.112,1.003,4.144,
0.128,2.701,4.144,
0.177,1.156,4.144,
0.866,1.158,4.144,
0.275,1.153,4.144,
0.232,1.203,4.144,
0.184,1.018,4.144,
0.179,1.092,4.144,
0.336,1.235,4.144,
0.392,1.141,4.144,
0.518,1.544,4.144,
0.423,1.825,4.144,
0.657,1.018,4.144,
0.115,0.937,4.144,
0.117,0.947,4.144,
0.303,0.928,4.144,
0.108,0.928,4.144,
0.159,0.933,4.144,
0.117,0.982,4.144,
0.110,0.919,4.144,
0.114,0.915,4.144,
0.157,1.091,4.144,
0.145,0.930,4.144,
0.310,1.960,4.144,
0.284,0.955,4.144,
0.143,0.988,4.144,
0.126,0.979,4.144,
0.618,1.086,4.144,
0.300,0.936,4.144,
0.258,1.124,4.144,
0.175,1.007,4.144,
0.117,0.952,4.144,
0.355,1.679,4.144,
0.134,1.145,4.144,
0.402,1.298,4.144,
0.671,1.113,4.144,
0.254,0.956,4.144,
0.145,1.235,4.144,
0.206,1.034,4.144,
0.112,0.926,4.144,
0.213,0.945,4.144,
0.205,1.147,4.144,
0.257,0.976,4.144,
0.112,0.877,4.144,
0.140,0.899,4.144,
0.106,0.989,4.144,
0.105,0.921,4.144,
0.130,0.873,4.144,
0.101,0.881,4.144,
0.109,0.929,4.144,
0.317,1.006,4.144,
0.194,1.033,4.144,
0.441,1.074,4.144,
0.394,0.934,4.144,
0.120,0.933,4.144,
0.157,1.051,4.144,
0.126,0.902,4.144,
0.116,0.897,4.144,
0.123,1.030,4.144,
0.118,1.940,4.144,
0.151,1.338,4.144,
0.354,0.954,4.144,
0.255,0.954,4.144,
0.316,0.921,4.144,
7.157,1.063,4.144,
0.459,1.322,4.144,
0.149,1.205,4.144,
0.240,0.972,4.144,
0.216,0.974,4.144,
0.110,0.912,4.144,
0.118,0.902,4.144,
0.104,0.907,4.144,
0.120,0.915,4.144,
0.119,1.055,4.144,
0.248,0.946,4.144,
0.224,0.952,4.144,
0.306,0.959,4.144,
0.147,1.523,4.144,
0.394,1.165,4.144,
0.296,0.929,4.144,
0.125,0.932,4.144,
0.201,0.946,4.144,
0.117,0.928,4.144,
0.107,0.913,4.144,
0.174,0.911,4.144,
0.112,1.105,4.144,
0.159,1.386,4.144,
0.346,1.162,4.144,
0.292,1.202,4.144,
0.302,0.997,4.144,
0.242,1.079,4.144,
0.801,1.462,4.144,
0.342,1.149,4.144,
0.237,0.959,4.144,
0.154,0.975,4.144,
0.199,0.961,4.144,
0.149,0.901,4.144,
0.105,0.930,4.144,
0.663,0.976,4.144,
0.307,1.190,4.144,
0.323,1.233,4.144,
0.282,1.135,4.144,
0.168,0.981,4.144,
0.259,1.233,4.144,
0.133,0.883,4.144,
0.114,0.894,4.144,
0.104,0.939,4.144,
0.184,0.883,4.144,
0.149,0.898,4.144,
0.176,0.889,4.144,
0.156,0.915,4.144,
0.183,0.993,4.144,
0.257,0.996,4.144,
0.311,1.866,4.144,
0.188,0.920,4.144,
0.131,0.878,4.144,
0.107,1.292,4.144,
0.285,0.954,4.144,
0.268,0.953,4.144,
0.219,0.921,4.144,
0.244,0.949,4.144,
0.227,1.411,4.144,
0.139,0.937,4.144,
0.261,0.959,4.144,
0.427,0.982,4.144,
0.146,1.176,4.144,
0.759,1.288,4.144,
0.224,0.942,4.144,
0.107,0.920,4.144,
0.146,1.033,4.144,
0.402,1.053,4.144,
0.381,1.098,4.144,
0.359,1.040,4.144,
0.362,0.974,4.144,
0.105,0.928,4.144,
0.135,1.473,4.144,
0.349,0.944,4.144,
0.147,0.942,4.144,
0.110,0.908,4.144,
0.108,0.904,4.144,
0.144,0.899,4.144,
0.096,0.910,4.144,
0.113,0.897,4.144,
0.146,0.920,4.144,
0.206,0.962,4.144,
0.110,0.929,4.144,
