insert() runtime [ms],get() runtime [ms],memory usage [kB],
5.573,0.789,95.856,
6.076,0.701,95.856,
5.746,0.852,95.856,
5.792,0.654,95.856,
5.198,0.647,95.856,
4.918,0.700,95.856,
6.179,0.682,95.856,
5.665,0.797,95.856,
5.445,0.739,95.856,
5.227,0.677,95.856,
5.222,0.661,95.856,
4.890,0.657,95.856,
6.266,0.664,95.856,
5.620,0.843,95.856,
5.911,0.717,95.856,
5.325,0.662,95.856,
4.889,0.662,95.856,
5.513,0.723,95.856,
5.510,0.763,95.856,
5.456,0.869,95.856,
5.888,0.639,95.856,
5.342,0.666,95.856,
4.949,0.690,95.856,
6.088,0.705,95.856,
5.377,0.834,95.856,
5.738,0.664,95.856,
5.379,0.745,95.856,
5.104,0.691,95.856,
5.744,0.746,95.856,
5.716,0.807,95.856,
5.877,0.735,95.856,
5.431,0.686,95.856,
4.816,0.868,95.856,
5.653,1.216,95.856,
6.230,0.827,95.856,
5.854,0.889,95.856,
5.075,0.890,95.856,
4.849,0.661,95.856,
5.527,0.764,95.856,
6.372,0.807,95.856,
5.334,0.763,95.856,
5.661,0.793,95.856,
5.040,0.695,95.856,
4.760,0.749,95.856,
6.415,0.805,95.856,
5.757,0.834,95.856,
6.199,0.893,95.856,
5.549,0.748,95.856,
4.780,0.703,95.856,
5.878,0.925,95.856,
5.633,0.762,95.856,
5.452,0.899,95.856,
5.576,0.829,95.856,
5.084,0.682,95.856,
4.795,0.658,95.856,
6.820,0.916,95.856,
5.831,0.856,95.856,
5.366,0.763,95.856,
5.743,0.714,95.856,
4.891,0.688,95.856,
5.439,1.027,95.856,
5.570,0.761,95.856,
5.895,0.677,95.856,
5.899,0.820,95.856,
4.993,0.694,95.856,
5.301,0.790,95.856,
5.631,0.779,95.856,
5.599,0.813,95.856,
5.625,0.802,95.856,
5.589,0.688,95.856,
4.885,0.685,95.856,
5.799,0.775,95.856,
5.634,0.830,95.856,
5.406,0.708,95.856,
5.352,0.690,95.856,
5.377,0.681,95.856,
5.902,0.742,95.856,
5.495,0.822,95.856,
5.748,0.728,95.856,
5.487,0.698,95.856,
4.871,0.727,95.856,
5.967,0.729,95.856,
5.632,0.790,95.856,
6.140,0.697,95.856,
5.685,0.749,95.856,
4.817,0.680,95.856,
5.552,0.823,95.856,
5.738,0.791,95.856,
5.523,0.771,95.856,
5.188,0.744,95.856,
5.582,0.681,95.856,
4.891,0.668,95.856,
6.037,0.694,95.856,
5.487,0.792,95.856,
5.615,0.707,95.856,
5.823,0.710,95.856,
4.825,0.645,95.856,
5.260,0.815,95.856,
5.592,0.783,95.856,
5.429,0.703,95.856,
